subject_id,measure,value,unit
2,sniffing,0.01273,n/min
5,sniffing,0.00123,n/min
7,sniffing,0.0151,n/min
9,sniffing,0.01685,n/min
11,sniffing,0.02121,n/min
17,sniffing,0.02039,n/min
20,sniffing,0.00918,n/min
28,sniffing,0.01942,n/min
32,sniffing,0.02732,n/min
59,sniffing,0.05683,n/min
67,sniffing,0.00937,n/min
16,sniffing,,n/min
18,sniffing,0.02279,n/min
19,sniffing,0.00509,n/min
22,sniffing,,n/min
27,sniffing,0.00869,n/min
30,sniffing,0.01403,n/min
37,sniffing,0.02845,n/min
39,sniffing,0.01053,n/min
46,sniffing,0.00782,n/min
53,sniffing,0.09991,n/min
55,sniffing,0.01089,n/min
23,sniffing,0.03935,n/min
24,sniffing,0.04487,n/min
31,sniffing,0.02951,n/min
36,sniffing,0.00376,n/min
38,sniffing,0.0311,n/min
40,sniffing,0.04087,n/min
44,sniffing,0.01871,n/min
50,sniffing,0.00661,n/min
51,sniffing,,n/min
57,sniffing,0.01276,n/min
21,sniffing,0.03464,n/min
25,sniffing,0.0041,n/min
35,sniffing,0.02232,n/min
41,sniffing,0.0244,n/min
45,sniffing,0.02097,n/min
49,sniffing,0.01364,n/min
52,sniffing,0.00131,n/min
58,sniffing,0.01361,n/min
61,sniffing,0.01146,n/min
66,sniffing,0.04552,n/min
69,sniffing,0.50514,n/min
2,lookaround,0.03191,s/min
5,lookaround,0.01362,s/min
7,lookaround,0.1123,s/min
9,lookaround,0.22246,s/min
11,lookaround,,s/min
17,lookaround,0.07835,s/min
20,lookaround,0.14777,s/min
28,lookaround,0.35541,s/min
32,lookaround,0.38011,s/min
59,lookaround,0.19232,s/min
67,lookaround,0.14815,s/min
16,lookaround,0.37211,s/min
18,lookaround,0.38044,s/min
19,lookaround,0.11335,s/min
22,lookaround,0.31771,s/min
27,lookaround,0.16027,s/min
30,lookaround,0.37558,s/min
37,lookaround,0.53495,s/min
39,lookaround,0.13657,s/min
46,lookaround,0.12088,s/min
53,lookaround,0.18898,s/min
55,lookaround,0.45507,s/min
23,lookaround,0.32203,s/min
24,lookaround,0.38349,s/min
31,lookaround,0.21083,s/min
36,lookaround,0.21739,s/min
38,lookaround,0.11474,s/min
40,lookaround,0.36085,s/min
44,lookaround,0.11061,s/min
50,lookaround,0.08684,s/min
51,lookaround,0.29822,s/min
57,lookaround,0.45438,s/min
21,lookaround,0.19393,s/min
25,lookaround,0.23524,s/min
35,lookaround,0.17255,s/min
41,lookaround,0.27903,s/min
45,lookaround,0.32353,s/min
49,lookaround,0.41465,s/min
52,lookaround,0.09329,s/min
58,lookaround,0.3129,s/min
61,lookaround,0.27112,s/min
66,lookaround,0.39734,s/min
69,lookaround,0.29994,s/min
