subject_id,compound,region,value,unit
2,DA,OF,0.01273,ng/mg
5,DA,OF,0.00123,ng/mg
7,DA,OF,0.0151,ng/mg
9,DA,OF,0.01685,ng/mg
11,DA,OF,0.02121,ng/mg
17,DA,OF,0.02039,ng/mg
20,DA,OF,0.00918,ng/mg
28,DA,OF,0.01942,ng/mg
32,DA,OF,0.02732,ng/mg
59,DA,OF,0.05683,ng/mg
67,DA,OF,0.00937,ng/mg
16,DA,OF,,ng/mg
18,DA,OF,0.02279,ng/mg
19,DA,OF,0.00509,ng/mg
22,DA,OF,NA,ng/mg
27,DA,OF,0.00869,ng/mg
30,DA,OF,0.01403,ng/mg
37,DA,OF,0.02845,ng/mg
39,DA,OF,0.01053,ng/mg
46,DA,OF,0.00782,ng/mg
53,DA,OF,0.09991,ng/mg
55,DA,OF,0.01089,ng/mg
23,DA,OF,0.03935,ng/mg
24,DA,OF,0.04487,ng/mg
31,DA,OF,0.02951,ng/mg
36,DA,OF,0.00376,ng/mg
38,DA,OF,0.0311,ng/mg
40,DA,OF,0.04087,ng/mg
44,DA,OF,0.01871,ng/mg
50,DA,OF,0.00661,ng/mg
51,DA,OF,NA,ng/mg
57,DA,OF,0.01276,ng/mg
21,DA,OF,0.03464,ng/mg
25,DA,OF,0.0041,ng/mg
35,DA,OF,0.02232,ng/mg
41,DA,OF,0.0244,ng/mg
45,DA,OF,0.02097,ng/mg
49,DA,OF,0.01364,ng/mg
52,DA,OF,0.00131,ng/mg
58,DA,OF,0.01361,ng/mg
61,DA,OF,0.01146,ng/mg
66,DA,OF,0.04552,ng/mg
69,DA,OF,0.50514,ng/mg
2,DA,PL,0.00476,ng/mg
5,DA,PL,0.01083,ng/mg
7,DA,PL,0.04735,ng/mg
9,DA,PL,0.02471,ng/mg
11,DA,PL,0.02665,ng/mg
17,DA,PL,0.01192,ng/mg
20,DA,PL,0.01553,ng/mg
28,DA,PL,0.02542,ng/mg
32,DA,PL,0.02295,ng/mg
59,DA,PL,0.02405,ng/mg
67,DA,PL,0.02134,ng/mg
